,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,World,"140,558,460","+53,399","3,012,991","+1,438","119,457,550","+52,693","18,087,919","106,795","18,032",386.5,,,,All,"
",,
1,1,USA,"32,305,912",,"579,942 ",,"24,836,187",,"6,889,783","9,712","97,150","1,744","426,562,606","1,282,751","332,537,343 ",North America,10,573,1
2,2,India,"14,526,609","+4,926","175,673 ",,"12,671,220","+4,331","1,679,716","8,944","10,445",126,"264,972,022","190,529","1,390,716,194 ",Asia,96,"7,917",5
3,3,Brazil,"13,834,342",,"369,024 ",,"12,298,863",,"1,166,455","8,318","64,721","1,726","28,600,000","133,799","213,753,558 ",South America,15,579,7
4,4,France,"5,224,321",,"100,404 ",,"4,046,205",,"1,077,712","5,914","79,897","1,536","71,424,719","1,092,324","65,387,859 ",Europe,13,651,1
5,5,Russia,"4,684,148",,"104,795 ",,"4,310,557",,"268,796","2,300","32,087",718,"125,100,000","856,943","145,984,033 ",Europe,31,"1,393",1
6,6,UK,"4,383,572",,"127,225 ",,"4,139,553",,"116,794",329,"64,305","1,866","140,944,028","2,067,597","68,168,033 ",Europe,16,536,0
7,7,Turkey,"4,150,039",,"35,320 ",,"3,591,550",,"523,169","3,205","48,792",415,"43,148,200","507,296","85,055,316 ",Asia,20,"2,408",2
8,8,Italy,"3,842,079",,"116,366 ",,"3,218,975",,"506,738","3,366","63,620","1,927","54,532,594","902,987","60,391,353 ",Europe,16,519,1
9,9,Spain,"3,407,283",,"76,981 ",,"3,129,234",,"201,068","2,180","72,853","1,646","44,285,495","946,896","46,769,124 ",Europe,14,608,1
10,10,Germany,"3,116,950",,"80,387 ",,"2,765,100","+13,100","271,463","4,740","37,108",957,"52,737,238","627,854","83,995,966 ",Europe,27,"1,045",2
11,11,Poland,"2,660,088",,"61,208 ",,"2,255,232",,"343,648","3,425","70,347","1,619","13,335,088","352,652","37,813,758 ",Europe,14,618,3
12,12,Argentina,"2,658,628",,"59,084 ",,"2,324,107",,"275,437","3,971","58,401","1,298","10,024,309","220,202","45,523,287 ",South America,17,770,5
13,13,Colombia,"2,619,422",,"67,564 ",,"2,442,453",,"109,405","4,299","51,050","1,317","13,693,403","266,871","51,310,940 ",South America,20,759,4
14,14,Mexico,"2,299,939","+4,504","211,693 ",+480,"1,823,732","+2,773","264,514","4,798","17,692","1,628","6,378,763","49,067","130,001,965 ",North America,57,614,20
15,15,Iran,"2,194,133",,"66,008 ",,"1,761,497",,"366,628","4,652","25,862",778,"14,165,771","166,969","84,840,750 ",Asia,39,"1,285",6
