,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
0,USA,32551107,14637,582665,209,25108546,3011,6859896,10036,97881,1752,432173530,1299541,332558517,North America
1,India,15880534,271530,184168,1598,13405177,135314,2291189,8944,11418,132,271053392,194881,1390864355,Asia
2,Brazil,14050885,0,378530,0,12561689,0,1110666,8318,65729,1771,28600000,133789,213770046,South America
3,France,5339920,0,101597,0,4181006,0,1057317,5984,81663,1554,72873077,1114447,65389433,Europe
4,Russia,4727125,8271,106706,399,4352873,9644,267546,2300,32381,731,126500000,866529,145984714,Europe
5,Turkey,4446591,61967,36975,362,3844342,52213,565274,3398,52273,435,44728595,525815,85065229,Asia
6,UK,4395703,2396,127327,22,4166734,5301,101642,300,64480,1868,146043397,2142281,68171922,Europe
7,Italy,3904899,13844,117997,364,3311267,20552,475635,3076,64661,1954,55885251,925400,60390385,Europe
8,Spain,3446072,10232,77364,148,3151587,4306,217121,2288,73682,1654,44374223,948789,46769321,Europe
9,Germany,3200025,19215,81308,222,2824100,20500,294617,4932,38096,968,52737238,627833,83998886,Europe
10,Argentina,2743620,0,59792,0,2407853,0,275975,4366,60263,1313,10320622,226688,45527815,South America
11,Poland,2718493,13926,63473,740,2366230,11578,288790,3265,71892,1679,13767550,364093,37813307,Europe
12,Colombia,2684101,0,69177,0,2505738,0,109186,5306,52304,1348,13978773,272401,51316864,South America
13,Iran,2311813,24886,67913,388,1823958,13427,419942,4991,27245,800,14739719,173710,84852500,Asia
14,Mexico,2311172,4262,213048,582,1836377,3245,261747,4798,17776,1639,6438267,49519,130016760,North America
15,Ukraine,1974118,12162,40796,429,1514472,14720,418850,177,45359,937,8996039,206699,43522336,Europe
16,Peru,1719088,0,57954,0,1645100,0,16034,2580,51564,1738,10524419,315680,33338918,South America
17,Indonesia,1620569,5720,44007,230,1475456,7314,101106,0,5875,160,14032928,50874,275838089,Asia
18,Czechia,1609861,3787,28711,28,1517774,206,63376,861,150105,2677,16239529,1514185,10724928,Europe
19,South Africa,1568366,0,53887,0,1494630,0,19849,546,26180,900,10379089,173255,59906596,Africa
20,Netherlands,1426243,8471,16983,18,1190841,6234,218419,817,83089,989,11781337,686346,17165301,Europe
21,Canada,1144474,5431,23750,37,1033016,5558,87708,1167,30112,625,30168562,793761,38007134,North America
22,Chile,1141403,4968,25353,36,1074827,7165,41223,3401,59301,1317,12508296,649862,19247606,South America
23,Romania,1037009,3006,26793,175,954868,4626,55348,1436,54196,1400,7985507,417338,19134403,Europe
24,Iraq,1001854,8696,15098,38,877309,6382,109447,517,24470,369,8938639,218328,40941346,Asia
25,Philippines,962307,9227,16265,124,829608,19699,116434,750,8689,147,11294085,101981,110746960,Asia
26,Belgium,955056,3430,23834,52,813224,9030,117998,946,82120,2049,12051821,1036263,11630075,Europe
27,Sweden,924340,0,13863,35,744405,2653,166072,416,91070,1366,8151774,803151,10149737,Europe
28,Israel,837479,122,6346,1,829117,215,2016,173,91054,690,14014683,1523734,9197590,Asia
29,Portugal,832255,610,16952,1,790650,532,24653,110,81812,1666,9948775,977977,10172808,Europe
30,Pakistan,772381,5499,16600,147,672619,5488,83162,4528,3443,74,11319832,50465,224312593,Asia
31,Hungary,757360,2527,25787,207,464750,3569,266823,925,78559,2675,5179517,537259,9640633,Europe
32,Bangladesh,732060,4280,10683,95,635183,7072,86194,0,4410,64,5249683,31624,166002634,Asia
33,Jordan,695390,3209,8429,57,654493,4775,32468,729,67617,820,6546769,636585,10284207,Asia
